F2,F3,F1,F11,F4,F6,F10,F9,F5,F7,F12,F8,out
0.929,5.447,4.102,1.456,5.201,1.644,2.501,0.6873,0.7983,0.5212,5.365,0.4236,b
0.896,5.179,4.299,1.498,5.322,1.686,2.499,0.9131,0.8691,0.4407,5.093,0.3345,b
0.8362,5.302,3.987,1.445,5.247,1.75,2.567,0.7886,0.8643,0.5505,4.756,0.3247,b
0.8459,5.365,4.133,1.469,5.209,1.763,2.605,0.78,0.7019,0.592,5.424,0.2612,b
0.8398,5.049,4.314,1.501,5.002,1.67,2.668,0.7166,0.8313,0.5212,5.54,0.3748,b
0.7568,5.505,4.218,1.552,5.183,1.702,2.745,0.6201,0.6665,0.5322,5.574,0.2295,b
0.8728,5.143,3.918,1.487,5.094,1.704,2.809,0.7556,0.6152,0.5054,5.774,0.2649,b
0.9326,5.336,4.124,1.47,5.04,1.768,2.77,0.7544,0.6787,0.4993,5.404,0.3687,b
0.8875,5.145,4.133,1.532,4.789,1.803,2.805,0.8069,0.7825,0.5273,5.117,0.3406,b
0.7617,5.77,4.305,1.621,5.055,1.931,2.887,0.9595,1.012,0.6702,5.566,0.2991,b
0.8472,5.525,4.592,1.592,5.508,2.029,3.191,0.8643,1.033,0.6201,5.614,0.238,b
0.6763,5.696,4.464,1.736,5.406,2.163,3.402,0.8679,1.011,0.6482,5.642,0.3052,b
0.7178,5.233,4.451,1.835,5.31,2.053,3.489,0.9509,1.008,0.8069,4.736,0.4358,b
0.7263,5.205,4.078,1.744,5.153,2.079,3.534,0.9607,1.04,0.6201,5.063,0.3418,b
0.7385,5.707,4.391,1.71,5.289,2.017,3.582,0.73,0.8899,0.8276,5.28,0.3198,b
3.734,3.853,2.035,0.9204,3.116,0.3186,0.9985,0.3882,0.3259,0.2734,5.38,0.21,b
3.693,4.023,2.262,0.9766,3.085,0.3601,0.9424,0.3552,0.4211,0.1306,5.542,0.02197,b
3.662,4.235,2.134,0.9949,3.209,0.2686,0.9473,0.3381,0.3638,0.1636,5.056,0.1123,b
3.583,4.391,2.202,0.9912,3.123,0.5005,1.049,0.2344,0.4687,0.2124,5.118,0.08911,b
3.372,4.728,2.339,1.104,3.309,0.5273,0.741,0.4651,0.4175,0.1294,5.277,0.0647,b
3.391,4.854,2.527,1.056,3.392,0.5945,0.9436,0.4504,0.4456,0.2905,5.427,0.1428,b
3.3,4.775,2.651,1.086,3.232,0.5835,1.024,0.3894,0.3687,0.3711,5.21,0.1172,b
3.175,4.609,2.78,0.9875,3.535,0.5762,0.9351,0.4407,0.4626,0.2222,5.321,0.1611,b
2.976,4.856,2.722,0.9998,3.496,0.7166,1.033,0.4517,0.5554,0.2869,5.43,0.05371,b
2.908,4.866,2.922,1.04,3.658,0.6909,0.9485,0.47,0.6116,0.2319,4.952,0.2161,b
2.645,4.963,3.063,1.089,3.505,0.7642,0.9521,0.4236,0.4749,0.2881,5.42,0.3003,b
2.628,4.629,2.913,1.09,3.489,0.874,0.9912,0.4871,0.4333,0.2222,5.021,0.1501,b
2.634,4.584,2.992,1.001,3.333,0.6519,1.025,0.3101,0.5127,0.3186,5.304,0.05981,b
2.532,5.092,2.91,0.7617,3.486,1.013,0.9814,0.4736,0.5334,0.4236,5.183,0.1392,b
2.406,4.952,2.894,1.05,3.529,0.8386,1.044,0.3455,0.4309,0.3796,5.365,0.1794,b
2.366,4.766,3.031,1.071,3.418,0.9741,0.9692,0.5798,0.4443,0.2319,5.353,0.1917,b
2.389,4.902,3.035,0.9705,3.594,0.8447,0.8484,0.4333,0.6335,0.199,5.099,0.199,b
2.36,4.808,2.88,0.9314,3.407,0.8398,1.033,0.4285,0.4309,0.2979,5.121,0.2063,b
2.103,4.55,3.025,1.044,3.353,0.8862,0.9497,0.2856,0.4114,0.293,5.121,0.2429,b
2.302,4.57,3.044,1.051,3.274,0.8936,1.094,0.5383,0.4785,0.2307,5.303,0.0708,b
2.208,4.573,3.073,1.011,3.323,0.8276,1.094,0.4541,0.6079,0.2966,5.237,0.3003,b
2.281,4.978,3.136,1.096,3.441,0.8655,1.025,0.4163,0.4419,0.3113,5.194,0.1562,b
2.122,4.64,3.079,1.03,3.481,0.9229,1.052,0.5042,0.5127,0.3369,5.682,0.1147,b
2.052,5.001,3.052,1.064,3.408,0.7166,1.024,0.5005,0.5347,0.3113,5.739,0.1038,b
1.962,4.929,3.179,1.028,3.367,0.8667,1.169,0.5188,0.3345,0.2625,5.083,0.2295,b
1.995,4.946,3.262,1.033,3.225,0.8728,1.141,0.5444,0.3845,0.2856,4.75,0.1294,b
1.886,4.81,3.264,1.006,3.472,0.874,1.024,0.5908,0.376,0.26,4.777,0.1416,b
1.694,5.012,3.237,1.075,3.313,0.7922,1.06,0.4517,0.5493,0.2698,4.932,0.1746,b
1.776,4.647,3.326,1.012,3.13,0.7776,1.213,0.4089,0.5835,0.2563,5.66,0.1746,b
1.749,4.955,3.083,0.9863,3.212,0.8923,1.086,0.4761,0.3552,0.3931,4.773,0.1892,b
1.554,4.525,3.082,1.044,3.546,0.8276,1.1,0.4614,0.365,0.2966,5.537,0.2429,b
1.591,4.863,3.186,1.088,3.347,0.8667,1.119,0.5005,0.4138,0.343,5.424,0.144,b
1.714,4.926,3.152,1.09,3.451,0.8032,1.205,0.4907,0.4272,0.3796,5.251,0.3894,b
1.622,4.96,3.131,1.031,3.306,0.9338,1.163,0.5322,0.4065,0.321,5.424,0.1904,b
1.58,4.669,3.059,1.057,3.473,0.9338,1.093,0.4858,0.4968,0.3613,5.039,0.105,b
1.494,4.882,3.102,1.056,3.561,0.863,1.083,0.5701,0.4895,0.3345,4.81,0.1331,b
1.68,5.01,3.087,1.128,3.499,0.9058,1.018,0.4614,0.4358,0.2747,5.089,0.2039,b
1.564,4.906,3.158,1.008,3.434,0.896,1.088,0.4138,0.4944,0.3333,5.764,0.2173,b
1.451,4.663,3.297,1.179,3.567,1.069,1.067,0.448,0.4333,0.2795,5.647,0.2832,b
1.425,4.874,3.318,1.002,3.352,0.8765,1.26,0.4004,0.5396,0.21,5.453,0.2161,b
1.492,4.562,3.312,1.012,3.497,0.7336,1.083,0.343,0.5115,0.2612,5.374,0.1697,b
1.4,4.783,3.352,1.207,3.269,0.8801,1.149,0.4858,0.4932,0.3088,5.609,0.1172,b
1.274,4.885,3.407,1.068,3.387,0.9583,1.107,0.3918,0.4333,0.3296,5.422,0.1562,b
1.316,4.706,3.534,1.088,3.479,0.8606,1.073,0.52,0.4871,0.2966,4.995,0.1611,b
1.333,4.609,3.262,1.091,3.204,0.9033,1.202,0.4846,0.5151,0.2954,5.128,0.04639,b
1.371,4.934,3.21,1.014,3.292,0.8936,1.028,0.4187,0.47,0.332,5.406,0.05737,b
1.312,4.666,3.442,1.187,3.223,0.835,1.036,0.3772,0.564,0.2576,5.072,0.1624,b
1.271,4.695,3.237,1.061,3.138,0.8228,1.084,0.4932,0.4285,0.2429,5.593,0.2173,b
1.296,4.907,3.202,1.012,3.254,0.8362,1.071,0.3931,0.5273,0.2209,5.636,0.2014,b
1.329,4.86,3.401,0.9631,3.204,0.7849,1.083,0.4797,0.3723,0.3906,5.483,0.2637,b
1.213,4.703,3.335,1.011,3.164,0.8606,1.165,0.5042,0.52,0.2917,5.625,0.1062,b
1.298,4.778,3.215,0.9924,3.204,0.9204,1.074,0.3918,0.4089,0.3015,5.74,0.166,b
1.18,4.758,3.149,1.113,3.231,0.8044,1.222,0.4163,0.4102,0.2161,5.081,0.1587,b
1.157,4.727,3.304,1.108,3.226,0.7642,1.033,0.448,0.4382,0.2429,4.849,0.1978,b
1.298,4.795,3.181,0.9436,3.052,0.885,1.089,0.3601,0.4529,0.2954,5.415,0.05615,b
1.168,4.888,3.004,1.057,2.906,0.7068,1.119,0.4358,0.4285,0.3467,5.363,0.1514,b
1.113,4.47,3.018,1.112,2.629,0.8704,0.9534,0.4663,0.3931,0.2747,5.194,0.144,b
2.01,5.227,2.861,1.04,5.022,0.282,1.01,0.4236,0.4553,0.4504,20,0.1685,b
1.824,5.323,3.063,0.9778,4.937,0.5212,0.9937,0.4529,0.5005,0.3638,20,0.1184,b
1.791,5.063,3.285,0.9387,4.803,0.448,1.001,0.448,0.498,0.3857,20,0.2856,b
1.63,5.662,3.184,0.9399,4.766,0.6409,1.102,0.5579,0.4895,0.3503,20,0.1794,b
1.637,5.334,3.392,0.9863,4.918,0.8301,0.8789,0.4102,0.4053,0.4883,20,0.1855,b
1.626,5.071,3.694,0.957,4.816,0.8545,1.143,0.5164,0.4749,0.5688,20,0.1367,b
1.595,5.042,3.687,1.058,4.816,1.064,1.155,0.4712,0.5188,0.5457,20,0.2417,b
1.398,5.396,3.969,1.083,4.868,1.179,1.179,0.5127,0.5164,0.4077,20,0.2844,b
1.213,5.75,3.845,0.9717,4.829,1.072,1.161,0.5896,0.5615,0.5078,20,0.2429,b
1.333,5.391,3.865,1.13,5.04,1.259,1.204,0.6921,0.5786,0.415,20,0.3259,b
1.179,5.397,4.388,1.089,4.797,1.339,1.141,0.5042,0.6128,0.5273,20,0.2942,b
1.097,5.303,4.13,1.007,5.092,1.517,1.29,0.5151,0.603,0.7275,20,0.3369,b
1.034,5.356,4.088,1.115,5.216,1.675,1.421,0.5176,0.7947,0.4041,20,0.199,b
1.106,5.552,4.165,1.035,4.85,1.649,1.382,0.5579,0.7629,0.6934,20,0.2893,b
0.9534,5.4,4.114,1.143,4.819,1.781,1.456,0.5359,0.8191,0.6384,20,0.3394,b
1.13,5.356,4.259,1.078,4.777,1.594,1.499,0.7202,0.7666,0.5579,20,0.376,b
0.9546,5.127,4.269,1.15,4.897,1.655,1.427,0.5188,0.791,0.5981,20,0.3467,b
1.084,5.587,4.365,1.024,4.977,1.824,1.481,0.5579,0.8203,0.6323,20,0.2478,b
1.033,5.488,4.23,1.079,5.139,1.794,1.624,0.6201,0.835,0.5957,20,0.3992,b
1.083,5.515,4.287,1.078,4.769,1.81,1.598,0.5347,0.8252,0.6836,20,0.3528,b
1.122,5.209,4.288,1.127,5.076,1.847,1.591,0.5164,0.7117,0.6067,20,0.3992,b
0.9265,5.463,4.075,1.157,5.295,1.757,1.742,0.6433,0.9436,0.6738,20,0.3711,b
0.8887,5.52,4.476,1.149,5.131,1.868,1.771,0.5957,0.7581,0.7886,20,0.1855,b
0.9131,5.359,4.504,1.11,4.661,1.759,1.741,0.5798,0.7788,0.7068,20,0.2905,b
0.9473,5.125,4.445,1.211,4.851,1.737,1.982,0.5566,0.8105,0.7153,20,0.3198,b
0.8325,5.312,4.303,0.979,4.929,1.871,1.881,0.564,0.9558,0.6592,20,0.2478,b
0.7532,5.157,4.543,1.144,4.75,2.083,2.168,0.6433,1.03,0.6873,20,0.3394,b
0.8228,5.402,4.718,1.294,5.154,2.305,1.934,0.7434,1.132,0.7617,20,0.1929,b
0.8569,5.543,4.711,1.37,5.072,2.288,2.563,0.7214,1.13,0.874,20,0.321,b
0.8459,5.265,4.597,1.464,4.991,2.273,2.749,0.7324,1.174,0.9302,20,0.5347,b
0.8618,5.372,4.747,1.503,5.271,2.307,3.073,0.6396,1.211,0.9717,20,0.4785,b
0.6128,5.583,4.496,1.56,5.112,2.242,3.26,0.8044,1.287,0.9448,20,0.4968,b
0.7263,5.2,4.806,1.577,5.371,2.422,3.633,0.7275,1.116,0.8826,20,0.4724,b
0.7129,5.204,4.764,1.536,5.055,2.52,3.813,0.802,1.158,1.067,20,0.4529,b
0.6287,5.505,4.713,1.583,5.443,2.275,4.042,0.8252,1.267,0.9619,20,0.5066,b
0.6226,5.365,4.641,1.729,5.061,2.19,4.081,0.7361,1.229,0.9668,20,0.4431,b
0.6372,5.529,4.581,1.616,5.323,2.424,4.241,0.835,1.221,0.9937,20,0.4187,b
0.7214,5.231,4.708,1.6,5.206,2.336,4.314,0.7373,1.06,0.8752,20,0.2808,b
0.6335,5.509,4.501,1.654,5.282,2.345,4.425,0.7898,1.157,0.9277,20,0.4736,b
0.6677,5.684,4.613,1.622,4.913,2.275,4.497,0.6335,1.162,0.9485,20,0.3821,b
0.7166,5.312,4.458,1.654,5.428,2.281,4.492,0.7556,1.144,1.006,20,0.4468,b
0.6238,5.696,4.744,1.589,5.187,2.303,4.391,0.7532,1.202,1.079,20,0.415,b
0.6873,5.17,4.764,1.667,4.774,2.317,4.529,0.8386,1.216,0.9949,20,0.4053,b
0.5981,5.795,4.622,1.66,4.918,2.417,4.594,0.6592,1.254,1.036,20,0.5811,b
0.7532,5.748,4.368,1.77,5.353,2.423,4.646,0.8398,1.204,1.016,20,0.4602,b
0.7593,5.667,4.607,1.698,5.072,2.417,4.718,0.7849,1.265,1.008,20,0.5322,b
0.6897,5.497,4.878,1.873,5.035,2.345,4.832,0.8301,1.287,1.022,20,0.4431,b
0.6995,5.822,4.845,1.71,5.361,2.114,4.995,0.8191,1.238,1.086,20,0.5237,b
0.6824,5.565,4.755,1.757,5.348,2.297,4.818,0.7471,1.255,1.016,20,0.4724,b
0.7251,5.665,4.758,1.799,5.237,2.335,5.018,0.7861,1.212,1.042,20,0.3748,b
0.7227,5.17,4.687,1.671,5.433,2.371,5.184,0.6738,1.204,0.9351,20,0.3479,b
0.7568,5.474,4.449,1.455,4.962,2.368,5.01,0.8179,1.18,1.052,20,0.4907,b
0.6396,5.228,4.802,1.617,5.011,2.323,4.923,0.8484,1.234,0.9839,20,0.4297,b
0.6604,5.419,4.518,1.831,5.502,2.297,5.029,0.8948,1.268,0.9863,20,0.3748,b
0.7361,5.898,4.802,1.713,5.19,2.358,5.01,0.8276,1.292,1.051,20,0.4553,b
0.6836,5.356,4.724,1.84,5.516,2.445,5.249,0.8752,1.324,1.183,20,0.4736,b
0.5542,5.309,4.541,1.805,5.222,2.504,5.137,0.9375,1.3,1.232,20,0.4907,b
0.6824,5.63,4.675,1.914,5.031,2.516,5.133,0.9424,1.4,1.161,20,0.4602,b
0.6714,5.647,4.846,1.829,5.17,2.483,4.951,0.8716,1.165,1.125,20,0.4419,b
0.6799,5.322,4.646,1.835,5.038,2.533,5.027,0.7678,1.24,1.086,20,0.4443,b
0.5371,5.366,4.745,1.809,5.194,2.389,5,0.8142,1.193,1.132,20,0.5212,b
3.098,3.453,2.303,0.8179,4.191,0.1562,1.033,0.3735,0.5457,0.4517,4.823,0.1477,b
2.788,3.506,2.294,0.9399,4.53,0.2222,1.091,0.4687,0.6042,0.3931,5.374,0.321,b
2.86,3.823,2.635,1.067,4.681,0.3308,1.03,0.5859,0.7031,0.5029,5.309,0.2112,b
2.87,4.091,2.689,1.046,4.651,0.3467,1.079,0.575,0.7861,0.5518,5.403,0.2783,b
2.55,4.529,2.709,0.8325,4.664,0.481,1.257,0.6018,0.8813,0.6006,5.649,0.177,b
2.739,4.58,3.103,1.006,5.121,0.4358,1.35,0.7715,0.7446,0.5591,5.071,0.2856,b
2.529,4.939,2.82,1.096,4.803,0.6519,1.305,0.6836,0.7727,0.5396,4.894,0.3455,b
2.565,4.705,2.931,1.051,4.645,0.5493,1.416,0.4773,0.7776,0.4907,5.707,0.1892,b
2.668,5.104,2.837,1.09,4.761,0.3906,1.45,0.5957,0.7434,0.498,4.785,0.2319,b
2.516,5.14,2.823,1.125,4.308,0.5713,1.522,0.542,0.6323,0.4626,5.355,0.2429,b
2.661,5.153,2.65,1.053,4.333,0.4895,1.464,0.5371,0.6152,0.3406,5.435,0.2539,b
2.49,5.209,2.594,1.055,4.06,0.6079,1.6,0.4822,0.5908,0.3564,5.104,0.1636,b
2.534,4.752,2.759,1.038,3.969,0.5176,1.562,0.448,0.4614,0.271,5.679,0.2686,b
2.638,4.916,2.595,1.057,3.779,0.4236,1.542,0.3223,0.4395,0.3357,5.302,0.2966,b
2.694,4.681,2.587,1.007,3.704,0.459,1.495,0.3394,0.5054,0.3784,5,0.2051,b
2.462,4.863,2.791,1.067,3.981,0.5176,1.464,0.4407,0.4846,0.3882,5.403,0.21,b
2.395,4.816,2.759,1.064,4.562,0.4041,1.432,0.5884,0.7068,0.5896,5.498,0.05615,b
2.449,4.91,3.057,1.222,4.838,0.5334,1.509,0.5859,0.7312,0.6812,5.511,0.2917,b
2.278,5.221,3.232,1.008,4.875,0.6274,1.434,0.5957,0.9155,0.5994,5.049,0.4077,b
2.443,4.895,3.323,1.107,4.894,0.6519,1.63,0.7129,0.9607,0.7776,5.134,0.2405,b
2.242,5.229,3.411,1.086,4.857,0.6262,1.636,0.7202,0.8862,0.658,5.696,0.3467,b
2.233,5.156,3.352,1.113,4.935,0.6482,1.635,0.614,0.7385,0.6213,5.715,0.3137,b
2.433,5.284,3.022,1.213,4.583,0.6592,2.002,0.6311,0.7947,0.5615,5.049,0.2417,b
2.233,4.799,3.126,1.184,4.702,0.6567,2.017,0.5798,0.6897,0.4785,5.36,0.3369,b
2.354,4.801,3.235,1.228,4.279,0.636,2.015,0.6238,0.5579,0.4883,5.015,0.3113,b
2.274,4.766,3.235,1.113,4.441,0.6116,1.899,0.4834,0.5884,0.4687,5.745,0.2661,b
2.225,5.421,2.834,1.23,3.967,0.5554,2.081,0.4724,0.5701,0.3882,4.943,0.271,b
2.294,4.802,2.944,1.207,4.308,0.6201,1.831,0.4687,0.5457,0.47,5.603,0.2686,b
2.098,5.413,2.991,1.068,4.124,0.5701,1.948,0.4553,0.5591,0.4993,4.985,0.2112,b
2.25,5.159,2.897,1.147,3.641,0.6335,1.804,0.6482,0.5164,0.3406,5.042,0.2405,b
2.316,5.41,2.595,1.144,3.571,0.4858,1.744,0.26,0.4932,0.3931,5.281,0.1501,b
2.296,5.175,2.739,1.307,3.77,0.5762,1.672,0.387,0.4272,0.3284,4.988,0.1501,b
2.268,4.987,2.675,1.078,3.645,0.6201,1.66,0.3906,0.5469,0.4285,4.963,0.2124,b
2.35,4.897,2.756,1.052,4.081,0.4675,1.65,0.4236,0.4285,0.3662,5.095,0.3162,b
2.19,4.9,2.957,1.072,4.333,0.5957,1.664,0.5615,0.5701,0.6226,5.719,0.2551,b
2.123,5.074,3.055,1.154,4.399,0.5933,1.705,0.4114,0.6848,0.415,4.995,0.2844,b
2.164,4.905,3.279,1.086,4.784,0.5896,1.562,0.3772,0.769,0.5811,5.406,0.249,b
2.12,5.208,3.384,1.149,4.757,0.7214,1.626,0.5713,0.6763,0.6152,5.634,0.2991,b
1.899,5.466,3.456,1.19,4.834,0.6042,1.877,0.564,0.7068,0.7202,5.277,0.2588,b
2.003,5.471,3.533,1.072,4.894,0.6396,1.907,0.47,0.8533,0.5261,5.157,0.26,b
1.949,5.087,3.552,1.11,4.957,0.6836,1.958,0.6396,0.8069,0.5432,5.432,0.2551,b
1.852,5.319,3.513,1.24,4.57,0.6543,1.893,0.6628,0.6787,0.6567,4.98,0.2441,b
2.004,5.41,3.334,1.204,4.371,0.6494,1.837,0.5872,0.6653,0.4187,5.695,0.2075,b
2.112,4.763,3.293,1.184,4.437,0.7422,1.958,0.5518,0.647,0.3894,5.513,0.1807,b
1.962,5.26,3.145,1.173,4.26,0.7214,2.029,0.4529,0.6384,0.271,5.494,0.2466,b
2.025,5.201,3.29,1.093,3.937,0.6006,1.965,0.4407,0.5444,0.365,4.812,0.3284,b
1.88,5.406,3.108,1.257,3.856,0.6372,1.851,0.5432,0.4883,0.4419,5.446,0.1941,b
2.048,4.674,3.042,1.121,3.865,0.5627,1.967,0.4211,0.4834,0.2795,5.41,0.1404,b
2.09,5.322,2.872,1.24,3.499,0.6201,1.842,0.3772,0.4236,0.3882,5.339,0.2087,b
2.153,5.144,2.922,1.162,3.645,0.6152,1.831,0.4004,0.5237,0.4736,5.601,0.2161,b
1.941,5.112,2.701,1.199,3.889,0.5774,1.743,0.4199,0.4895,0.3345,5.352,0.3052,b
1.876,5.188,3.119,1.045,4.084,0.5664,1.643,0.4834,0.509,0.4065,5.168,0.2771,b
1.823,5.317,3.025,1.018,4.264,0.7019,1.76,0.4077,0.6458,0.52,5.52,0.2344,b
1.884,4.969,3.098,1.167,4.786,0.7727,1.688,0.4834,0.6396,0.3674,5.306,0.2271,b
1.866,5.204,3.259,1.119,4.454,0.6372,1.76,0.5103,0.6799,0.5994,5.435,0.2014,b
2.023,5.38,3.307,1.035,4.402,0.7068,1.79,0.6238,0.6628,0.5005,5.447,0.1782,b
1.815,4.756,2.922,1.227,4.68,0.686,1.78,0.52,0.7007,0.4419,5.109,0.2942,b
1.833,4.775,3.059,1.011,4.153,0.6384,1.901,0.5042,0.5933,0.321,4.786,0.3064,b
1.741,4.712,3.088,1.232,4.146,0.6372,1.876,0.4529,0.5579,0.4504,5.011,0.304,b
1.887,5.216,3.104,1.085,4.235,0.741,1.927,0.5188,0.4614,0.4102,5.365,0.2209,b
1.952,5.526,2.833,1.178,3.934,0.6567,1.826,0.4236,0.4846,0.4578,5.203,0.07324,b
2.017,5.232,2.827,1.077,3.588,0.5493,1.857,0.437,0.5249,0.2917,5.374,0.1343,b
1.91,4.874,2.703,1.051,3.741,0.6494,1.704,0.387,0.4407,0.3491,5.64,0.1538,b
1.978,4.994,2.758,1.277,3.549,0.5896,1.597,0.5371,0.5237,0.498,5.212,0.1685,b
1.691,5.736,4.204,0.9998,4.592,1.266,1.04,0.3076,0.5859,0.3943,5.31,0.2039,b
1.694,5.123,4.246,0.9778,4.875,1.37,1.075,0.4712,0.6189,0.4797,5.56,0.1221,b
1.401,5.208,4.136,1.014,4.856,1.444,1.064,0.3503,0.614,0.4651,5.248,0.2368,b
1.318,5.398,4.169,1.03,4.709,1.345,1.017,0.542,0.6519,0.4395,5.612,0.1697,b
1.431,5.336,4.091,0.9973,5.038,1.409,1.094,0.5005,0.6226,0.5347,5.214,0.1978,b
1.475,5.659,4.122,0.9863,4.899,1.437,1.079,0.5286,0.6641,0.5078,5.57,0.1831,b
1.173,5.388,4.332,0.9131,4.885,1.439,1.149,0.603,0.6116,0.531,5.62,0.177,b
1.245,5.264,4.049,1.061,4.89,1.456,1.329,0.4834,0.8008,0.4565,5.505,0.2014,b
1.154,5.37,4.337,0.8777,5.004,1.636,1.188,0.5286,0.7471,0.4993,5.443,0.1843,b
1.128,5.104,4.305,1.08,4.723,1.771,1.238,0.5872,0.9717,0.5371,5.74,0.321,b
0.9485,5.4,4.203,1.083,4.928,1.727,1.301,0.5786,0.9009,0.4321,4.685,0.2747,b
1.021,5.608,4.377,1.219,4.862,1.885,1.389,0.6189,0.835,0.4114,5.552,0.3113,b
1.051,5.306,4.237,1.044,5.1,1.71,1.442,0.6787,0.8667,0.5151,5.596,0.1453,b
0.9363,5.524,4.407,1.003,5.415,1.857,1.46,0.6372,0.8765,0.575,5.78,0.2478,b
0.8936,5.454,4.319,1.1,5.233,1.565,1.379,0.6677,0.863,0.5823,5.15,0.2258,b
1.077,5.801,4.569,1.06,5.286,1.835,1.484,0.7202,0.8521,0.614,5.439,0.2661,b
0.9583,5.233,4.226,0.874,4.813,1.927,1.532,0.7764,0.8289,0.6274,5.275,0.282,b
0.957,5.763,4.532,0.9851,5.105,2.112,1.661,0.6763,0.8801,0.5908,5.21,0.1428,b
0.8923,5.175,4.342,1.118,4.926,1.962,1.558,0.6567,0.7715,0.7043,4.865,0.3357,b
0.8875,5.76,4.553,1.053,4.878,2.078,1.604,0.4163,0.896,0.7068,4.805,0.2637,b
0.9094,5.239,4.384,1.067,4.824,1.913,1.666,0.6799,0.8887,0.658,4.872,0.2844,b
0.8826,5.175,4.574,1.017,5.457,1.929,1.65,0.7178,0.8191,0.6042,5.27,0.2502,b
0.9009,5.483,4.551,1.115,5.243,1.873,1.802,0.7129,0.8093,0.6409,5.311,0.3003,b
0.8997,5.781,4.565,1.213,5.236,1.938,1.733,0.5151,0.8386,0.5933,5.073,0.2332,b
0.9509,5.542,4.319,1.152,4.849,1.809,1.694,0.686,0.8179,0.7056,5.51,0.3369,b
0.8704,5.284,4.438,1.191,5.02,2.012,1.752,0.5981,0.8838,0.7544,4.724,0.3259,b
0.8008,5.436,4.614,1.086,5.11,1.793,1.757,0.7959,0.7898,0.5969,4.718,0.304,b
0.7629,5.624,4.49,1.202,4.922,1.917,1.801,0.6384,0.7349,0.6738,5.353,0.2747,b
0.8826,5.765,4.496,0.9863,5.177,1.844,1.837,0.6775,0.7068,0.5225,5.348,0.2783,b
0.658,5.63,4.377,1.135,5.027,1.832,1.98,0.6702,0.6995,0.6262,0.7263,0.3662,b
0.7703,5.78,4.552,1.166,4.768,1.869,1.774,0.6091,0.8374,0.6445,0.675,0.3052,b
0.8069,5.199,4.207,1.129,4.827,1.943,1.898,0.5383,0.8191,0.686,0.8301,0.1843,b
0.8496,5.742,4.374,1.119,4.76,1.884,1.82,0.6335,0.6665,0.5444,0.8862,0.2539,b
0.7263,5.369,4.39,1.108,5.016,1.771,1.879,0.6702,0.708,0.5212,0.6421,0.3296,b
0.8215,5.669,4.574,0.9717,4.817,1.592,1.869,0.6189,0.6848,0.592,0.7788,0.3894,b
0.8203,5.624,4.353,1.105,5.042,1.843,1.858,0.6445,0.8215,0.6421,0.9607,0.2039,b
0.8521,5.74,4.457,0.9692,5.247,1.787,1.884,0.5945,0.7056,0.5884,0.9094,0.2478,b
0.8545,5.657,4.159,1.165,5.273,1.826,1.843,0.6274,0.7312,0.6189,0.7166,0.2734,b
0.8118,5.245,4.219,1.119,5.14,1.709,1.891,0.6067,0.6348,0.5786,0.8594,0.3516,b
0.8008,5.62,4.421,1.133,5.199,1.686,1.788,0.6592,0.8289,0.6787,0.6409,0.3113,b
0.7605,5.26,4.304,1.152,5.055,1.707,1.866,0.6775,0.7373,0.6787,0.7056,0.06592,b
0.7727,5.403,4.425,1.121,4.913,1.583,1.836,0.6055,0.7495,0.6531,0.8655,0.3064,b
0.7275,5.352,4.435,1.119,4.872,1.716,1.86,0.6689,0.8752,0.6604,0.675,0.387,b
0.6042,5.271,4.432,1.099,4.702,1.835,1.862,0.5493,0.8105,0.542,0.824,0.2856,b
0.7324,5.244,4.481,1.101,5.015,1.719,1.884,0.6445,0.7104,0.7068,0.6238,0.2917,b
0.7092,5.001,4.283,1.056,4.829,1.693,1.743,0.4578,0.6995,0.6799,0.8435,0.3418,b
0.6592,5.371,4.192,1.116,4.924,1.742,1.887,0.6799,0.7776,0.7312,5.43,0.2808,b
0.8044,5.352,4.517,1.14,4.635,1.785,1.91,0.5054,0.741,0.5652,5.662,0.3918,b
0.8008,5.349,4.51,1.145,4.871,1.808,1.864,0.6482,0.7043,0.5505,5.074,0.2637,b
0.7825,5.181,4.387,1.112,5.135,1.782,1.895,0.5383,0.8044,0.6104,5.428,0.2844,b
0.7422,5.349,4.531,1.006,4.788,1.736,1.876,0.752,0.6824,0.6921,5.12,0.3162,b
0.7642,5.342,4.17,1.091,4.954,1.555,1.949,0.5347,0.8594,0.6726,4.966,0.3345,b
0.8203,5.414,4.581,1.08,4.873,1.815,1.833,0.5627,0.8459,0.575,5.36,0.2869,b
0.7727,5.314,4.504,1.147,4.894,1.667,1.877,0.6567,0.7776,0.6311,5.344,0.2539,b
0.7861,5.682,4.508,1.082,4.503,1.746,1.907,0.4919,0.542,0.5969,5.42,0.1758,b
0.8484,5.208,4.51,1.162,4.897,1.766,1.96,0.5127,0.658,0.4321,5.154,0.3772,b
1.167,5.511,3.744,1.042,4.969,0.9998,1.017,0.4871,0.4846,0.5005,4.718,0.3381,b
1.067,5.682,3.695,1.085,4.8,1.116,1.136,0.4834,0.5957,0.6104,4.899,0.2771,b
1.047,5.311,3.809,0.9802,4.944,1.277,1.152,0.4907,0.7593,0.4114,5.251,0.3174,b
0.8142,5.276,3.898,1.038,5.084,1.449,1.073,0.6128,0.6042,0.5579,5.413,0.1587,b
0.8545,5.381,4.075,1.008,4.828,1.516,1.2,0.6555,0.7092,0.5872,5.326,0.2441,b
